TIPO_REG;PAIS;P_DEPTO;P_MUNIC;UC_UO;ENCUESTA;COD_VEREDA;P_S6P45B;P_S6P45A;P_S6P46;P_S6P47A;P_S6P47B;P_S6P48;P_S6P50;P_S6P51_SP1;P_S6P51_SP2;P_S6P51_SP3;P_S6P53;P_S6P57A;P_S6P59_UNIF;P_S6P60;AREA_SEMBRADA;AREA_COSECHADA
4;170;25;25035;00080001;060459090;25035026;1;1;00132401001;11;1997;2;;;;;;4.7295155386;15.091752353;;0.3133841205;0.3133841205
4;170;25;25035;00080001;060459090;25035026;1;1;00131601001;11;2009;2;2;;1;;;1.0811270846;3.4498464144;12;0.3133841205;0.3133841205
4;170;25;25035;00080001;060459090;25035026;2;1;00132401001;11;1993;2;;;;;;30.747818694;15.091752353;;2.037392211;2.037392211
4;170;25;25035;00080001;060459090;25035026;2;2;00112201001;11;2013;2;2;;1;;;0;;12;2.037392211;0
4;170;25;25035;00080001;060459090;25035026;2;2;00112201001;6;2013;2;2;;1;;;6.8387234127;3.3566062419;12;2.037392211;2.037392211
4;170;25;25035;00080001;060460190;25035016;1;1;00132301002;12;1993;2;;;;;;5.1058987707;11.554133173;;0.4419110196;0.4419110196
4;170;25;25035;00080001;060460190;25035016;1;1;00131601001;12;2004;2;2;;1;;;1.5245251463;3.4498464144;12;0.4419110196;0.4419110196
4;170;25;25035;00080001;060460190;25035016;2;1;00196104060;5;1994;1;;;;;;0;;;5.6023094551;0
4;170;25;25035;00080001;060460190;25035016;3;1;00132301002;12;1994;1;;;;;;5.8836498833;11.554133173;;0.50922469;0.50922469
4;170;25;25035;00090000;083111267;25035020;1;1;00131601001;11;2005;1;2;;1;;;0.1345080467;3.4498464144;12;0.0389895753;0.0389895753
4;170;25;25035;00090000;083111267;25035020;2;1;09999999903;10;2013;1;;;;;;1.044056424;0.8237734341;;1.2674072515;1.2674072515
4;170;25;25035;00090000;083111267;25035020;3;1;00131201001;7;2012;1;2;;1;;;0.2395460389;5.3317013875;12;0.04492863;0.04492863
4;170;25;25035;00090000;083111404;25035018;1;1;00131601001;11;2003;1;2;;1;;;0.0359195266;3.4498464144;12;0.0104119205;0.0104119205
4;170;25;25035;00090000;083111404;25035018;2;1;16100100107;5;1992;1;1;;1;;;0.0731058497;1.08;12;0.0676906016;0.0676906016
4;170;25;25035;00090000;083111404;25035018;3;1;00131201001;7;2013;1;2;;1;;;0;;12;0.0119979;0
4;170;25;25035;00090000;083111405;25035018;1;1;00131601001;11;2010;1;2;;1;;;0.0359195266;3.4498464144;12;0.0104119205;0.0104119205
4;170;25;25035;00090000;083111405;25035018;2;1;16100100107;5;1992;1;1;;1;;;0.0731058497;1.08;12;0.0676906016;0.0676906016
4;170;25;25035;00090000;083111405;25035018;3;1;00131201001;7;1992;1;2;;1;;;0.0639692201;5.3317013875;12;0.0119979;0.0119979
4;170;25;25035;00090000;083111406;25035018;1;1;00131601001;11;2003;1;2;;1;;;0.0359195266;3.4498464144;12;0.0104119205;0.0104119205
4;170;25;25035;00090000;083111406;25035018;3;1;00131201001;7;2011;1;2;;1;;;0.0639692201;5.3317013875;12;0.0119979;0.0119979
4;170;25;25035;00090000;083146562;25035004;1;1;00131601001;11;1997;2;2;;1;;;0.2439973987;3.4498464144;12;0.0707270323;0.0707270323
4;170;25;25035;00090000;083146562;25035004;1;1;00132401001;11;1993;2;2;;1;;;1.0673948556;15.091752353;12;0.0707270323;0.0707270323
4;170;25;25035;00090000;083146562;25035004;2;1;09999999903;10;2013;1;;;;;;0.4071109225;0.8323432297;;0.4891142355;0.4891142355
4;170;25;25035;00090000;083146562;25035004;3;1;00131201001;7;1994;1;2;;1;;;0.434536169;5.3317013875;12;0.08150047;0.08150047
4;170;25;25035;00090000;083150020;25035018;1;1;00131601001;11;1999;1;2;;1;;;0.0623257779;3.4498464144;12;0.0180662471;0.0180662471
4;170;25;25035;00090000;083150020;25035018;2;1;16100100107;5;1992;1;1;;1;;;0.0564605376;1.08;12;0.0522782755;0.0522782755
4;170;25;25035;00090000;083150115;25035018;1;1;00131601001;11;2013;1;2;;1;;;0;;12;0.0104119205;0
4;170;25;25035;00090000;083150115;25035018;2;1;16100100107;5;2012;1;1;;1;;;0;;12;0.0676906016;0
4;170;25;25035;00090000;083150115;25035018;3;1;00131201001;7;2012;1;2;;1;;;0.0639692201;5.3317013875;12;0.0119979;0.0119979
4;170;25;25035;00090000;083150116;25035018;1;1;00131601001;11;1998;1;2;;1;;;0.0359195266;3.4498464144;12;0.0104119205;0.0104119205
4;170;25;25035;00090000;083150116;25035018;3;1;00131201001;7;1992;1;2;;1;;;0.0639692201;5.3317013875;12;0.0119979;0.0119979
4;170;25;25035;00090001;060457189;25035024;1;1;00131601001;12;1996;1;2;;1;;;0.0770978078;3.4498464144;12;0.0223481856;0.0223481856
4;170;25;25035;00090001;060457189;25035024;2;2;00112201001;12;2013;1;2;;1;;;0;;12;0.1452913997;0
4;170;25;25035;00090001;060457189;25035024;2;2;00112201001;7;2013;1;2;;1;;;0.4529830268;3.1177552683;12;0.1452913997;0.1452913997
4;170;25;25035;00090001;060457189;25035024;3;1;00131701001;8;2012;1;2;;1;;;0.5426564071;21.072112142;12;0.02575235;0.02575235
4;170;25;25035;00100000;083146781;25245031;1;1;00131601001;11;2004;2;2;;1;;;0.1846348492;3.4498464144;12;0.0535197302;0.0535197302
4;170;25;25035;00100000;083146781;25245031;1;1;00132202001;11;2003;2;;;;;;0.6008162883;11.226070955;;0.0535197302;0.0535197302
4;170;25;25035;00100000;083146781;25245031;2;1;00132202001;11;2011;2;;;;;;0;;;0.3479458001;0
4;170;25;25035;00100000;083146781;25245031;2;1;16100100110;5;1992;2;1;;1;;;0.5010419522;1.44;12;0.3479458001;0.3479458001
4;170;25;25035;00100000;083146781;25245031;3;2;00112201001;10;2013;1;2;;1;;;0;;12;0.06167208;0
4;170;25;25035;00100000;083146781;25245031;3;2;00112201001;5;2013;1;2;;1;;;0.1878970339;3.0467114759;12;0.06167208;0.06167208
4;170;25;25035;00100000;083150248;25035006;1;1;00131601001;11;2009;1;2;;1;;;0.0499894515;3.4498464144;12;0.0144903412;0.0144903412
4;170;25;25035;00110001;060453785;25035006;1;1;00131601001;12;2006;2;2;;1;;;0.1571366342;3.4498464144;12;0.0455488782;0.0455488782
4;170;25;25035;00110001;060453785;25035006;1;1;00132301002;12;1992;2;;;;;;0.5262778049;11.554133173;;0.0455488782;0.0455488782
4;170;25;25035;00110001;060453785;25035006;2;1;00131201001;8;2011;1;2;;1;;;1.578850915;5.3317013875;12;0.2961251579;0.2961251579
4;170;25;25035;00110001;060453785;25035006;3;1;00132301002;12;1992;1;;;;;;0.6064424811;11.554133173;;0.05248706;0.05248706
4;170;25;25035;00110001;060460225;25035016;1;1;00132301002;12;1993;2;;;;;;3.707200275;11.554133173;;0.3208549027;0.3208549027
4;170;25;25035;00110001;060460225;25035016;1;1;00131601001;12;2012;2;2;;1;;;0;;12;0.3208549027;0
4;170;25;25035;00110001;060460225;25035016;2;1;00196104060;5;1988;1;;;;;;14.554093431;3.5780318943;;4.0676254044;4.0676254044
4;170;25;25035;00110001;060460225;25035016;3;1;00132301002;12;1994;1;;;;;;4.2718961398;11.554133173;;0.36972883;0.36972883
4;170;25;25035;00120000;083120091;25035022;1;2;09999999901;;2013;1;3;;1;;;0.003024783;0.3569290731;;0.0084744652;0.0084744652
4;170;25;25035;00120001;060460676;25035024;1;1;00131601001;11;2008;1;2;;1;;;0.0778980565;3.4498464144;12;0.022580152;0.022580152
4;170;25;25035;00120001;060460676;25035024;2;2;00112201001;6;2013;1;2;;1;;;0.4351631358;2.9643371842;12;0.1467994728;0.1467994728
4;170;25;25035;00120001;060460676;25035024;2;2;00112201001;11;2013;1;2;;1;;;0;;12;0.1467994728;0
