TIPO_REG;PAIS;P_DEPTO;P_MUNIC;UC_UO;ENCUESTA;COD_VEREDA;P_S6P45B;P_S6P45A;P_S6P46;P_S6P47A;P_S6P47B;P_S6P48;P_S6P50;P_S6P51_SP1;P_S6P51_SP2;P_S6P51_SP3;P_S6P53;P_S6P57A;P_S6P59_UNIF;P_S6P60;AREA_SEMBRADA;AREA_COSECHADA
4;170;08;08137;01164360;000048410;08137003;1;2;00159201001;3;2013;2;2;;1;;;1.2178884294;6.6843361319;12;0.182200357;0.182200357
4;170;08;08137;01164360;040068517;08137003;1;2;00159201001;3;2013;2;2;;1;;;0.397256297;6.3294609246;12;0.0627630539;0.0627630539
4;170;08;08137;01164360;040068517;08137003;1;1;00132201001;1;1992;2;;;;;;0.8753376243;13.946702243;;0.0627630539;0.0627630539
4;170;08;08137;01164360;040068517;08137003;1;2;00112201002;6;2013;2;2;;1;;;0.2010116033;3.2027059053;12;0.0627630539;0.0627630539
4;170;08;08137;01164360;040068517;08137003;1;2;00112201002;9;2012;2;2;;1;;;0.2105826128;3.3552002301;12;0.0627630539;0.0627630539
4;170;08;08137;01164360;040068517;08137003;1;2;00112201001;6;2013;2;2;;1;;;0.201158118;3.2050403148;12;0.0627630539;0.0627630539
4;170;08;08137;01164360;040068517;08137003;1;2;00112201001;9;2012;2;2;;1;;;0.2035011769;3.2423721329;12;0.0627630539;0.0627630539
4;170;08;08137;01510001;040069027;08137001;1;2;00112201002;9;2012;2;2;;1;;;0.9617814252;3.369188037;12;0.2854638609;0.2854638609
4;170;08;08137;01510001;040069027;08137001;1;2;00112201001;6;2013;2;2;;1;;;0.9421013688;3.3002474139;12;0.2854638609;0.2854638609
4;170;08;08137;01510001;040069027;08137001;1;2;00112201001;9;2012;2;2;;1;;;0.9208427467;3.2257769644;12;0.2854638609;0.2854638609
4;170;08;08137;01510001;040069027;08137001;1;2;00112201002;6;2013;2;2;;1;;;0.947582865;3.319449481;12;0.2854638609;0.2854638609
4;170;08;08137;01510001;040069027;08137001;1;1;00132201001;1;1992;2;;;;;;3.9812794694;13.946702243;;0.2854638609;0.2854638609
4;170;08;08137;01510001;040069027;08137001;1;2;00159201001;3;2013;2;2;;1;;;1.7518547698;6.1368705801;12;0.2854638609;0.2854638609
4;170;08;08137;01511674;040069028;08137001;1;1;00132201001;1;1992;2;;;;;;3.9664733177;13.946702243;;0.2844022371;0.2844022371
4;170;08;08137;01511674;040069028;08137001;1;1;00131201001;10;1992;2;2;;1;;;1.0622935608;3.7351800453;12;0.2844022371;0.2844022371
4;170;08;08137;01511674;040069028;08137001;1;2;00112201001;9;2012;2;2;;1;;;0.9625578755;3.3844947401;12;0.2844022371;0.2844022371
4;170;08;08137;01511674;040069028;08137001;1;2;00112201001;6;2013;2;2;;1;;;0.9952740552;3.4995296291;12;0.2844022371;0.2844022371
4;170;08;08137;01511674;040069028;08137001;1;2;00112201002;11;2013;2;2;;1;;;0;;12;0.2844022371;0
4;170;08;08137;01511674;040069028;08137001;1;2;00112201002;6;2013;2;2;;1;;;1.1148567693;3.92;12;0.2844022371;0.2844022371
4;170;08;08137;01560001;040069029;08137001;1;2;00112201001;9;2012;2;2;;1;;;2.0225037517;3.4188080112;12;0.5915815527;0.5915815527
4;170;08;08137;01560001;040069029;08137001;1;2;00112201002;11;2013;2;2;;1;;;0;;12;0.5915815527;0
4;170;08;08137;01560001;040069029;08137001;1;2;00112201001;6;2013;2;2;;1;;;2.0336573865;3.4376619371;12;0.5915815527;0.5915815527
4;170;08;08137;01560001;040069029;08137001;1;2;00112201002;6;2013;2;2;;1;;;2.3189996866;3.92;12;0.5915815527;0.5915815527
4;170;08;08137;01560001;040069029;08137001;1;1;00131701001;10;2012;2;2;;1;;;10.619406532;17.950875046;12;0.5915815527;0.5915815527
4;170;08;08137;01560001;040069029;08137001;1;1;09999999903;1;2013;2;;;;;;1.2973663518;2.193047342;;0.5915815527;0.5915815527
4;170;08;08137;01610001;040069055;08137001;1;2;00193002012;7;2013;2;2;;1;;;0;;12;0.2814989999;0
4;170;08;08137;01610001;040069335;08137001;1;1;09999999903;1;2013;2;;;;;;2.4188576048;2.2158356701;;1.091623191;1.091623191
4;170;08;08137;01610001;040069335;08137001;1;1;00131701001;10;2012;2;2;;1;;;19.595591498;17.950875046;12;1.091623191;1.091623191
4;170;08;08137;01610001;040069335;08137001;1;2;00112201002;6;2013;2;2;;1;;;3.4649277879;3.1741060621;12;1.091623191;1.091623191
4;170;08;08137;01610001;040069335;08137001;1;2;00112201001;12;2012;2;2;;1;;;3.9720216317;3.6386380068;12;1.091623191;1.091623191
4;170;08;08137;01610001;040069335;08137001;1;2;00112201002;9;2012;2;2;;1;;;3.6776516858;3.3689754086;12;1.091623191;1.091623191
4;170;08;08137;01610001;040069335;08137001;1;2;00112201001;9;2013;2;2;;1;;;0;;12;1.091623191;0
4;170;08;08137;01610001;040069335;08137001;7001;2;00112201001;12;2012;2;2;;1;;;3.5432699298;3.2458727143;12;1.091623191;1.091623191
4;170;08;08137;01610168;040069232;08137001;1;2;00112201001;6;2013;2;2;;1;;;3.7750525203;3.4582011005;12;1.091623191;1.091623191
4;170;08;08137;01610168;040069232;08137001;1;2;00112201001;9;2012;2;2;;1;;;3.5401806361;3.2430427142;12;1.091623191;1.091623191
4;170;08;08137;01610168;040069232;08137001;1;2;00112201002;6;2013;2;2;;1;;;3.4067108906;3.1207754827;12;1.091623191;1.091623191
4;170;08;08137;01610168;040069232;08137001;1;2;00112201002;9;2012;2;2;;1;;;3.6151441785;3.3117143428;12;1.091623191;1.091623191
4;170;08;08137;01610168;040069232;08137001;1;1;00131701001;3;2012;2;2;;1;;;19.595591498;17.950875046;12;1.091623191;1.091623191
4;170;08;08137;01610168;040069232;08137001;1;1;00131801001;12;2012;2;2;;1;;;20.961748794;19.202366685;12;1.091623191;1.091623191
4;170;08;08137;01610486;040069341;08137001;1;2;00159301001;4;2013;1;2;;1;;;0;;12;0.0105999716;0
4;170;08;08137;01610502;040069347;08137001;1;1;09999999903;1;2013;2;;;;;;2.4337741102;2.2295001887;;1.091623191;1.091623191
4;170;08;08137;01610502;040069347;08137001;1;1;00131701001;10;2012;2;2;;1;;;19.595591498;17.950875046;12;1.091623191;1.091623191
4;170;08;08137;01610502;040069347;08137001;1;2;00112201001;12;2012;2;2;;1;;;3.6092175116;3.3062851188;12;1.091623191;1.091623191
4;170;08;08137;01610502;040069347;08137001;1;2;00112201002;9;2012;2;2;;1;;;3.6822316741;3.3731709849;12;1.091623191;1.091623191
4;170;08;08137;01610502;040069347;08137001;1;2;00112201001;9;2013;2;2;;1;;;0;;12;1.091623191;0
4;170;08;08137;01610502;040069347;08137001;1;2;00112201002;6;2013;2;2;;1;;;3.4864201878;3.1937945407;12;1.091623191;1.091623191
4;170;08;08137;01610502;040069347;08137001;7001;2;00112201001;12;2012;2;2;;1;;;3.6741939436;3.365807885;12;1.091623191;1.091623191
4;170;08;08137;01610532;040069344;08137001;1;2;00112201002;6;2013;2;2;;1;;;3.1563035959;2.8913856192;12;1.091623191;1.091623191
4;170;08;08137;01610532;040069344;08137001;1;2;00112201001;9;2013;2;2;;1;;;0;;12;1.091623191;0
